                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2594,                 2.3564,                 1.4236,                0.85496,                0.84128,                0.89407,                  0.646,                0.91033,                0.75441,                 1.2254,               0.003328,               0.003328,               0.003328
                      1,                 1.1221,                 1.1696,                 1.2991,                 0.8744,                0.86771,                0.92265,                0.67549,                0.91061,                0.66463,                 1.1991,              0.0065789,              0.0065789,              0.0065789
                      2,                 1.1615,                 1.1645,                  1.323,                0.86087,                0.83129,                0.89788,                0.64267,                0.97815,                0.80492,                 1.2716,              0.0097473,              0.0097473,              0.0097473
                      3,                  1.209,                 1.2208,                 1.3643,                0.90036,                0.86383,                0.92367,                0.66478,                0.96004,                0.69884,                 1.2602,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.1851,                 1.1225,                 1.3521,                0.92325,                0.89785,                 0.9484,                0.70774,                0.87326,                0.61275,                 1.1937,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.1432,                 1.0155,                 1.3236,                0.92776,                0.92932,                0.96055,                 0.7193,                0.86858,                0.52561,                 1.1902,               0.009505,               0.009505,               0.009505
                      6,                 1.1301,                0.96858,                 1.3097,                0.95378,                0.94241,                0.97266,                 0.7398,                0.86144,                0.48103,                 1.1754,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.0969,                 0.9135,                 1.2916,                0.93922,                0.94451,                0.97262,                0.74455,                0.84894,                0.48595,                 1.1685,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.0845,                0.86578,                 1.2819,                0.94651,                0.94469,                 0.9711,                0.74057,                0.83783,                  0.468,                 1.1556,              0.0091337,              0.0091337,              0.0091337
                      9,                  1.069,                 0.8389,                 1.2679,                0.96331,                 0.9607,                0.97935,                0.76459,                0.81914,                0.41151,                  1.141,                0.00901,                0.00901,                0.00901
                     10,                 1.0539,                0.80914,                 1.2594,                0.95026,                0.95903,                0.97765,                0.76607,                0.80948,                0.42263,                 1.1276,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.0459,                 0.7779,                 1.2544,                0.95097,                0.96207,                0.97998,                 0.7655,                0.81587,                0.42436,                 1.1417,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.0321,                0.76849,                 1.2473,                0.96652,                0.97064,                  0.985,                0.77867,                 0.7871,                 0.3872,                 1.1132,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.0141,                0.74202,                 1.2359,                0.95762,                0.97257,                0.98163,                0.77643,                0.78823,                0.38627,                 1.1159,               0.008515,               0.008515,               0.008515
                     14,                 1.0145,                0.73062,                 1.2409,                0.97139,                 0.9742,                0.98419,                0.78551,                0.77952,                0.36978,                 1.1174,              0.0083913,              0.0083913,              0.0083913
