epoch,fitness,         train/box_loss,         train/cls_loss,         train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,0.670807,1.2594,2.3564,1.4236,0.85496,0.84128,0.89407,0.646,0.91033,0.75441,1.2254,0.003328,0.003328,0.003328
1,0.720546,1.1194,1.1697,1.2984,0.90443,0.88495,0.93174,0.69708,0.8727,0.60625,1.1672,0.0065864,0.0065864,0.0065864
2,0.690072,1.1633,1.1729,1.3289,0.90152,0.87296,0.92706,0.66374,0.95249,0.70999,1.2637,0.0097698,0.0097698,0.0097698
3,0.702231,1.2086,1.224,1.3672,0.91409,0.85235,0.92598,0.67737,0.93006,0.69291,1.2506,0.0096625,0.0096625,0.0096625
4,0.721245,1.1826,1.1258,1.3531,0.91194,0.89478,0.93963,0.69698,0.89519,0.61461,1.203,0.0096625,0.0096625,0.0096625
5,0.74417,1.1409,1.0164,1.3242,0.92587,0.92718,0.96161,0.72001,0.86622,0.52594,1.1847,0.00955,0.00955,0.00955
6,0.757832,1.1319,0.96392,1.3111,0.94717,0.94567,0.97025,0.73423,0.86326,0.48177,1.1804,0.0094375,0.0094375,0.0094375
7,0.764563,1.0968,0.91467,1.2949,0.95185,0.94728,0.97141,0.74158,0.84529,0.46829,1.1528,0.009325,0.009325,0.009325
8,0.772622,1.082,0.86567,1.2783,0.95174,0.95155,0.97424,0.75022,0.83794,0.4595,1.1463,0.0092125,0.0092125,0.0092125
9,0.782504,1.0697,0.84166,1.275,0.95869,0.95519,0.97568,0.76104,0.81665,0.43546,1.1472,0.0091,0.0091,0.0091
10,0.78142,1.0585,0.81238,1.2648,0.95914,0.96795,0.97762,0.75962,0.81765,0.42146,1.132,0.0089875,0.0089875,0.0089875
11,0.785361,1.0476,0.79053,1.2569,0.95654,0.96276,0.97725,0.76404,0.80806,0.41712,1.1262,0.008875,0.008875,0.008875
12,0.794956,1.0334,0.76811,1.2523,0.96548,0.97201,0.98257,0.77411,0.79813,0.38669,1.1229,0.0087625,0.0087625,0.0087625
13,0.794874,1.0156,0.74344,1.2416,0.97374,0.95305,0.9822,0.77406,0.7943,0.3864,1.1215,0.00865,0.00865,0.00865
14,0.803176,1.0182,0.7374,1.2421,0.96954,0.97239,0.98494,0.78298,0.78506,0.3785,1.1325,0.0085375,0.0085375,0.0085375
15,0.804892,1.0053,0.71583,1.2327,0.96428,0.97126,0.98239,0.78517,0.7769,0.36906,1.1132,0.008425,0.008425,0.008425
16,0.806366,0.99883,0.70062,1.2224,0.9792,0.97,0.98426,0.7866,0.77739,0.3571,1.1098,0.0083125,0.0083125,0.0083125
17,0.806509,0.98995,0.69281,1.2211,0.96871,0.97404,0.98083,0.78714,0.76937,0.3625,1.1159,0.0082,0.0082,0.0082
18,0.812847,0.97916,0.67754,1.2132,0.97696,0.9786,0.98616,0.79359,0.76226,0.34595,1.0981,0.0080875,0.0080875,0.0080875
19,0.815134,0.97483,0.66494,1.2113,0.97284,0.98065,0.98617,0.79613,0.76268,0.34492,1.1011,0.007975,0.007975,0.007975
20,0.815663,0.96859,0.66256,1.2107,0.9805,0.97775,0.98678,0.79665,0.76547,0.33653,1.0987,0.0078625,0.0078625,0.0078625
21,0.816491,0.96619,0.64763,1.2052,0.98105,0.97966,0.9875,0.79749,0.75371,0.32359,1.0955,0.00775,0.00775,0.00775
22,0.818995,0.96677,0.64438,1.1977,0.98102,0.97669,0.98671,0.80036,0.75144,0.32873,1.0877,0.0076375,0.0076375,0.0076375
23,0.821554,0.9552,0.63065,1.1967,0.98295,0.98106,0.98692,0.80318,0.74602,0.32524,1.086,0.007525,0.007525,0.007525
24,0.824816,0.95176,0.62706,1.1977,0.98236,0.98291,0.98795,0.80669,0.74553,0.31483,1.0865,0.0074125,0.0074125,0.0074125
25,0.828315,0.94704,0.61924,1.19,0.98708,0.98098,0.98973,0.81038,0.74095,0.31305,1.0836,0.0073,0.0073,0.0073
26,0.828008,0.94328,0.61064,1.1928,0.98313,0.9834,0.98936,0.81008,0.74027,0.30997,1.0745,0.0071875,0.0071875,0.0071875
27,0.83023,0.93088,0.6015,1.1828,0.98093,0.9869,0.98926,0.81256,0.7314,0.30962,1.0829,0.007075,0.007075,0.007075
28,0.830087,0.93079,0.59484,1.1822,0.98521,0.98279,0.98936,0.81239,0.73596,0.30584,1.0731,0.0069625,0.0069625,0.0069625
29,0.832719,0.91843,0.58631,1.17,0.9857,0.98516,0.99012,0.81523,0.7362,0.29914,1.0774,0.00685,0.00685,0.00685
30,0.835829,0.92963,0.59014,1.182,0.98253,0.98631,0.9908,0.81861,0.72824,0.29808,1.0628,0.0067375,0.0067375,0.0067375
31,0.835067,0.92043,0.57565,1.1727,0.98312,0.98754,0.99002,0.81785,0.72575,0.29441,1.0701,0.006625,0.006625,0.006625
32,0.835084,0.90529,0.56802,1.1662,0.98646,0.98494,0.98911,0.81797,0.72247,0.29263,1.0696,0.0065125,0.0065125,0.0065125
33,0.835027,0.91361,0.56494,1.1666,0.98454,0.98663,0.9889,0.81793,0.72052,0.2935,1.0608,0.0064,0.0064,0.0064
34,0.838332,0.9144,0.56365,1.1673,0.98663,0.98493,0.99045,0.82143,0.7203,0.2874,1.0651,0.0062875,0.0062875,0.0062875
35,0.840262,0.9083,0.56194,1.1699,0.98502,0.99125,0.9913,0.82348,0.71789,0.28442,1.0637,0.006175,0.006175,0.006175
36,0.838125,0.9022,0.55142,1.163,0.98548,0.98588,0.99018,0.82123,0.72246,0.2824,1.0665,0.0060625,0.0060625,0.0060625
37,0.841056,0.8997,0.55062,1.1588,0.98804,0.98776,0.99114,0.82438,0.71799,0.28125,1.0559,0.00595,0.00595,0.00595
38,0.841607,0.89264,0.5482,1.1612,0.98796,0.98784,0.99107,0.825,0.71559,0.27866,1.0624,0.0058375,0.0058375,0.0058375
39,0.841724,0.89272,0.53807,1.1567,0.98411,0.98894,0.98972,0.82528,0.7081,0.28038,1.0568,0.005725,0.005725,0.005725
40,0.842619,0.88712,0.53577,1.1539,0.98835,0.99123,0.99147,0.82608,0.70864,0.27575,1.0513,0.0056125,0.0056125,0.0056125
41,0.844419,0.88131,0.52467,1.1492,0.98756,0.98767,0.99111,0.82812,0.70966,0.27172,1.0535,0.0055,0.0055,0.0055
42,0.845811,0.88803,0.53177,1.154,0.98779,0.98892,0.99135,0.82964,0.70607,0.27261,1.0579,0.0053875,0.0053875,0.0053875
43,0.846739,0.88348,0.52204,1.1491,0.98813,0.98614,0.99001,0.83082,0.71014,0.27257,1.0585,0.005275,0.005275,0.005275
44,0.84855,0.87605,0.51692,1.1453,0.98973,0.98918,0.99147,0.83267,0.70424,0.26861,1.0582,0.0051625,0.0051625,0.0051625
45,0.849485,0.86974,0.51188,1.1448,0.98872,0.98914,0.99074,0.83379,0.6985,0.26536,1.052,0.00505,0.00505,0.00505
46,0.849883,0.87476,0.51211,1.1462,0.98882,0.98974,0.99085,0.83422,0.69918,0.2625,1.0481,0.0049375,0.0049375,0.0049375
47,0.851471,0.85957,0.50269,1.1359,0.9893,0.98983,0.99161,0.8359,0.69717,0.2624,1.0462,0.004825,0.004825,0.004825
